"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999/2000","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","138","","","","0"
"2000/2001","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","158","","","","0"
"2001/2002","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","193","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","170","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","173","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","134","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","103","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","91","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","115","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","101","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","89","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","103","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","111","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","85","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","106","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","71","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185164","2.4.2.1.2.1","64","","","","0"
